id,label
data/images/Zapdos/c3f34230c7e24d18845c4d2eaad54801.jpg,Zapdos
data/images/Zapdos/f5a52cd93f924e28a46d7def3265d6b4.jpg,Zapdos
data/images/Zapdos/26b19f8809ce496eae2e1b822d54492c.jpg,Zapdos
data/images/Zapdos/7a63f55b762a4fe7b6cd92f17ea22ebf.jpg,Zapdos
data/images/Zapdos/0b9b5e421d8949e0b2b6698c8d0bb92e.jpg,Zapdos
data/images/Zapdos/46f34105208f4bf791a7dc0112a42cbb.jpg,Zapdos
data/images/Zapdos/10982eec77424c3a871ed747928326ff.jpg,Zapdos
data/images/Zapdos/7b0ddb107fb84c73b63a1fbde58d3345.jpg,Zapdos
data/images/Zapdos/edff8aa47fbc4bf0a03524f3d5907545.jpg,Zapdos
data/images/Zapdos/2b7870f2174e4a1d9e13bc0bb71fd35b.jpg,Zapdos
data/images/Zapdos/8b37af987ca344dcbe792f568e3ffc65.jpg,Zapdos
data/images/Zapdos/499831d588ac4d64b014856b05d9585c.jpg,Zapdos
data/images/Zapdos/e014138c8e3c4c5892f1e0e23e2cfbcf.jpg,Zapdos
data/images/Zapdos/56c1ee16eee04a9ca35fd433070f0e65.jpg,Zapdos
data/images/Zapdos/785d99a028bf48089bde125938879fa4.jpg,Zapdos
data/images/Zapdos/47d069b9d46b4f2880a690acfdd599f6.jpg,Zapdos
data/images/Zapdos/5c830e6fc821476c9f6b1fae0999bc02.jpg,Zapdos
data/images/Zapdos/e27ea76894f94ca4b63a6e31a50dd4ef.jpg,Zapdos
data/images/Zapdos/b23068f7977f4e33a972c6b886bfa0bb.jpg,Zapdos
data/images/Zapdos/00e5ca5e91ca4f44be3d3d2383f96779.jpg,Zapdos
data/images/Zapdos/bb7c0535e6854b7a8b7fe7a941bf155f.jpg,Zapdos
data/images/Zapdos/eacf764dc0584a8d944ea7efeba5d79d.jpg,Zapdos
data/images/Zapdos/cc6e21ad8d5c4a98ad86a1393e313496.jpg,Zapdos
data/images/Zapdos/7f66647fa5df42a898240dcffe49e763.jpg,Zapdos
data/images/Zapdos/28ce55532d76464796c5e5da46c27533.jpg,Zapdos
data/images/Zapdos/bcd2f07fe54045f09275bd7aa6fd5359.jpg,Zapdos
data/images/Zapdos/9db8639fcdd34e35914b88de30d1832a.jpg,Zapdos
data/images/Zapdos/038bdc26e3544737b3d8fc4e2bb61288.jpg,Zapdos
data/images/Zapdos/03377a9e843a49259d85f1cf7be96245.jpg,Zapdos
data/images/Zapdos/2dab6ef8caee4e7092424b0c0c9e1de3.jpg,Zapdos
data/images/Zapdos/3cf07887fd1b43ad9612f9d986380c55.jpg,Zapdos
data/images/Zapdos/cf798b45f57b40a6961fc97b7df0a932.jpg,Zapdos
data/images/Zapdos/0ee0bc4f1202451f8fd10a93fae2d609.jpg,Zapdos
data/images/Zapdos/dc08d0d6143e4d62bb9dbf509596094e.jpg,Zapdos
data/images/Zapdos/86bf9cf35ccf46e485c17f41aef9578e.jpg,Zapdos
data/images/Zapdos/d538056f0935470da42abeaa3c25ff79.jpg,Zapdos
data/images/Zapdos/db1b94d4d8ae4efaa410d53aa08f81f0.jpg,Zapdos
data/images/Zapdos/1f8b1e9698ab4b77a447368c3239a895.jpg,Zapdos
data/images/Zapdos/db2f5d7108c547ce85080f7c5cdcc999.jpg,Zapdos
data/images/Zapdos/1321cc68f4c14b7684eba6a204f96104.jpg,Zapdos
data/images/Zapdos/808d0175c69846e799580358baf2fe92.jpg,Zapdos
data/images/Zapdos/1d26634c068d43c6a994340a85ec79a6.jpg,Zapdos
data/images/Zapdos/da3152fba54a4e37957baff36598d8e7.jpg,Zapdos
data/images/Zapdos/570ae721c3554c64ae8c2ebcb58b7772.jpg,Zapdos
data/images/Zapdos/82b698836d33472bbdbc975a4329086e.jpg,Zapdos
data/images/Zapdos/103cea46936b43018c685f8b9f8e1e11.jpg,Zapdos
data/images/Zapdos/c0d9680eeb85459f93205ba568c0bd8f.jpg,Zapdos
data/images/Zapdos/672219c9fb3d42cab8558d5c3e140ddf.jpg,Zapdos
data/images/Zapdos/554dab9b2fee468da30464105367722a.jpg,Zapdos
data/images/Zapdos/5a2238c62acb42b38b514d0862e615ea.jpg,Zapdos
data/images/Zapdos/81b99d88582341388e808f18993e24bf.jpg,Zapdos
data/images/Zapdos/580e6e89333e494db94f2c251bd374ce.jpg,Zapdos
data/images/Zapdos/34f5854ee25f415481e5ef1142baf632.jpg,Zapdos
data/images/Zapdos/ebdf45114efa46b9a7c1fb8531efa8f1.jpg,Zapdos
data/images/Zapdos/7260b5b88cdd4e31b2c1521601d05307.jpg,Zapdos
data/images/Zapdos/12ec331842424028b98505ccce3da18e.jpg,Zapdos
data/images/Zapdos/42bad9448f2749a8946a4abfe7aae252.jpg,Zapdos
